"Player","IP","K","SV","BS","HD","ERA","WHIP","ER","G","W","L","Rost%","POSRANK","Hits","Walks","POS","ERAscaled","WHIPscaled","Kscaled","SVscaled","SVSGP","GS","QS","CG","QSscaled","KSGP","QSSGP"
"Joe Musgrove (SD - SP)",140.9,134,0,NA,NA,3.93,1.2,62,25,8,8,"32%",57,132,36,"c",-0.172308895643083,0.22821023916918,-0.711025403207583,0,0,25,13,0,-0.222228466738423,1.90160832544939,1.60194174757282
"Andrew Abbott (CIN - SP)",167.1,152,0,NA,NA,4.2,1.26,78,29,10,9,"76%",58,158,52,"c",-0.937496425637038,-0.558721620034885,-0.0496064234795986,0,0,29,14,1,0.160924062120927,2.15704824976348,1.72516803584765
"Gerrit Cole (NYY - SP)",123,124,0,NA,NA,3.85,1.17,53,21,8,6,"75%",59,108,36,"c",0.0544133354662371,0.621676168771212,-1.07848039194535,0,0,21,11,1,-0.988533524457123,1.759697256386,1.35548917102315
"Jacob Misiorowski (MIL - SP)",136.7,157,0,NA,NA,3.96,1.28,60,30,9,8,"92%",60,111,64,"c",-0.257329732309077,-0.821032239769573,0.134121070889286,0,0,25,12,0,-0.605380995597773,2.22800378429518,1.47871545929798
"Bryce Miller (SEA - SP)",141.7,126,0,NA,NA,4.14,1.21,65,26,9,8,"24%",61,130,42,"c",-0.767454752305046,0.0970549293018355,-1.0049893941978,0,0,26,12,0,-0.605380995597773,1.78807947019868,1.47871545929798
"Bailey Ober (MIN - SP)",157.1,142,0,NA,NA,4.36,1.21,76,28,9,9,"18%",62,152,38,"c",-1.39094088785568,0.0970549293018355,-0.417061412217367,0,0,28,13,1,-0.222228466738423,2.0151371807001,1.60194174757282
"Cody Ponce (TOR - SP,RP)",145,149,0,NA,NA,4.07,1.25,66,39,8,8,"14%",63,135,46,"c",-0.569072800084393,-0.427566310167541,-0.159842920100929,0,0,22,11,0,-0.988533524457123,2.11447492904447,1.35548917102315
"Trey Yesavage (TOR - SP) IL15",124.5,143,0,NA,NA,3.8,1.24,53,31,7,6,"80%",64,102,53,"c",0.196114729909563,-0.296411000300197,-0.380315913343591,0,0,23,11,0,-0.988533524457123,2.02932828760643,1.35548917102315
"Mitch Keller (PIT - SP)",175.9,154,0,NA,NA,4.28,1.29,84,31,10,11,"18%",65,175,53,"c",-1.16421865674636,-0.952187549636918,0.0238845742679552,0,0,31,15,0,0.544076590980277,2.18543046357616,1.84839432412248
"David Peterson (NYM - SP)",161.7,145,0,NA,NA,3.94,1.34,71,29,10,8,"14%",66,155,62,"c",-0.200649174531747,-1.60796409897364,-0.306824915596037,0,0,29,15,1,0.544076590980277,2.05771050141911,1.84839432412248
"Shane Baz (BAL - SP)",151.9,149,0,NA,NA,4.2,1.27,71,28,9,9,"48%",67,140,54,"c",-0.937496425637038,-0.689876929902229,-0.159842920100929,0,0,28,13,0,-0.222228466738423,2.11447492904447,1.60194174757282
"Sean Manaea (NYM - SP,RP)",126.9,132,0,NA,NA,4.07,1.21,57,35,8,7,"20%",68,113,40,"c",-0.569072800084393,0.0970549293018355,-0.784516400955136,0,0,21,9,0,-1.75483858217582,1.87322611163671,1.10903659447349
"Brandon Pfaadt (ARI - SP)",164.8,145,0,NA,NA,4.38,1.26,80,29,10,10,"8%",69,170,39,"c",-1.44762144563301,-0.558721620034885,-0.306824915596037,0,0,29,14,0,0.160924062120927,2.05771050141911,1.72516803584765
"Brady Singer (CIN - SP)",168.5,157,0,NA,NA,4.35,1.3,81,31,10,11,"19%",70,164,55,"c",-1.36260060896701,-1.08334285950426,0.134121070889286,0,0,31,14,0,0.160924062120927,2.22800378429518,1.72516803584765
"Shane Bieber (TOR - SP)",116,107,0,NA,NA,3.8,1.18,49,25,7,6,"51%",71,109,28,"c",0.196114729909563,0.490520858903868,-1.70315387279956,0,0,19,10,0,-1.37168605331647,1.51844843897824,1.23226288274832
"Ryne Nelson (ARI - SP,RP)",156.4,129,0,NA,NA,4.19,1.26,73,33,9,8,"39%",72,154,43,"c",-0.909156146748373,-0.558721620034885,-0.894752897576467,0,0,27,13,0,-0.222228466738423,1.83065279091769,1.60194174757282
