"Player","IP","K","W","L","ERA","WHIP","ER","H","BB","HR","G","GS","QS","CG","Own","POSRANK","POS","Wscaled","ERAscaled","Kscaled","WHIPscaled","totalScaled","Jenks","OverallRank","label","Tier"
"Caleb Ferguson (LAD - SP,RP)",64.3,71,5,3,3.46,1.23,25,56,23,8,39,4,1,0,"1%",80,"sp",-2.07041057772909,0.898423303835376,-2.16038834332073,0.186205407790048,-3.1461702094244,"2",86,"Caleb Ferguson (LAD - SP,RP) as SP. Total: -3.15",9
"Jose Urena (MIA - SP)",166.1,125,9,11,4.2,1.32,78,162,56,21,30,29,15,1,"6%",100,"sp",-0.516631532529022,-1.0109197313116,-0.784993736632221,-0.888056560229454,-3.2006015607023,"2",87,"Jose Urena (MIA - SP) as SP. Total: -3.2",9
"Wade LeBlanc (SEA - SP,RP)",144.7,115,8,8,4.3,1.26,69,144,39,22,25,25,13,0,"4%",75,"sp",-0.905076293829039,-1.26893906038552,-1.03969644157454,-0.17188191488312,-3.38559371067221,"1",88,"Wade LeBlanc (SEA - SP,RP) as SP. Total: -3.39",10
"Seth Lugo (NYM - SP,RP)",81.9,79,4,4,3.62,1.2,33,75,24,11,47,4,0,0,"7%",70,"sp",-2.45885533902911,0.48559237731711,-1.95662617936688,0.544292730463215,-3.38559641061566,"1",89,"Seth Lugo (NYM - SP,RP) as SP. Total: -3.39",10
"Trevor Richards (MIA - SP)",141.2,135,7,10,4.07,1.33,64,136,52,19,28,28,13,0,"11%",93,"sp",-1.29352105512906,-0.675494603515512,-0.530291031689904,-1.00741900112051,-3.50672569145498,"1",90,"Trevor Richards (MIA - SP) as SP. Total: -3.51",10
"Michael Wacha (STL - SP)",135.9,119,9,7,4.09,1.36,62,133,51,16,25,25,14,0,"28%",96,"sp",-0.516631532529022,-0.727098469330294,-0.937815359597611,-1.36550632379368,-3.5470516852506,"1",91,"Michael Wacha (STL - SP) as SP. Total: -3.55",10
"Michael Pineda (MIN - SP)",125,122,8,7,4.22,1.31,59,130,33,16,21,21,13,0,"11%",98,"sp",-0.905076293829039,-1.06252359712638,-0.861404548114916,-0.768694119338399,-3.59769855840874,"1",92,"Michael Pineda (MIN - SP) as SP. Total: -3.6",10
"Matt Strahm (SD - SP,RP)",96.8,105,6,6,3.9,1.28,42,87,37,14,29,17,11,0,"40%",72,"sp",-1.68196581642907,-0.236861744089854,-1.29439914651685,-0.410606796665231,-3.62383350370101,"1",93,"Matt Strahm (SD - SP,RP) as SP. Total: -3.62",10
"Ryan Yarbrough (TB - SP,RP)",133.8,114,8,8,4.2,1.31,62,132,43,18,30,16,6,0,"11%",74,"sp",-0.905076293829039,-1.0109197313116,-1.06516671206877,-0.768694119338399,-3.74985685654781,"1",94,"Ryan Yarbrough (TB - SP,RP) as SP. Total: -3.75",10
"Brad Keller (KC - SP,RP)",155.5,112,9,9,4.08,1.38,70,159,55,16,29,27,16,1,"10%",86,"sp",-0.516631532529022,-0.701296536422903,-1.11610725305723,-1.60423120557579,-3.93826652758494,"1",95,"Brad Keller (KC - SP,RP) as SP. Total: -3.94",10
"Robbie Erlin (SD - SP,RP)",99.7,82,5,6,3.98,1.21,44,101,20,12,44,10,4,0,"1%",77,"sp",-2.07041057772909,-0.443277207348987,-1.88021536788418,0.424930289572159,-3.9689728633901,"1",96,"Robbie Erlin (SD - SP,RP) as SP. Total: -3.97",10
"Luke Weaver (ARI - SP)",140.1,133,8,9,4.31,1.37,67,143,49,18,26,25,12,0,"24%",82,"sp",-0.905076293829039,-1.29474099329291,-0.581231572678367,-1.48486876468473,-4.26591762448505,"1",97,"Luke Weaver (ARI - SP) as SP. Total: -4.27",10
"Yonny Chirinos (TB - SP,RP)",109.7,91,6,6,4.02,1.28,49,112,29,17,27,14,6,0,"3%",88,"sp",-1.68196581642907,-0.546484938978552,-1.6509829334361,-0.410606796665231,-4.29004048550895,"1",98,"Yonny Chirinos (TB - SP,RP) as SP. Total: -4.29",10
"Julio Urias (LAD - SP)",76.4,76,5,4,3.71,1.31,31,69,32,9,21,12,4,0,"38%",99,"sp",-2.07041057772909,0.253374981150586,-2.03303699084957,-0.768694119338399,-4.61876670676648,"1",99,"Julio Urias (LAD - SP) as SP. Total: -4.62",10
"Sergio Romo (MIA - SP,RP)",60.3,65,3,3,3.8,1.22,25,55,19,8,62,0,0,0,"19%",92,"sp",-2.84730010032912,0.0211575849840622,-2.31320996628612,0.305567848681103,-4.83378463295008,NA,100,"Sergio Romo (MIA - SP,RP) as SP. Total: -4.83",NA
